"query","search interest","increase percent"
"tac logistics tracking",1,"Breakout"
"ireda share price",1,"Breakout"
"all cargo logistics khalikpur",0,"2,450%"
"the national logistics policy aims to reduce india's logistics cost from around 13-14% of gdp to what target by 2030?",1,"250%"
"tci freight tracking",2,"200%"
"indo mim share price",1,"170%"
"ekart logistics near me contact number",0,"100%"
"pc jeweller share price",1,"90%"
"apsrtc logistics tracking",3,"60%"
"delhivery logistics",6,"50%"
"bajaj housing finance share price",1,"50%"
"delhivery tracking",2,"50%"
"ekart logistics customer care",3,"50%"
"true or generative ai can help marketers create on-brand assets efficiently, maximizing budgets and streamlining workflows. true false",1,"40%"
"ar logistics tracking",1,"40%"
"delhivery",6,"40%"
"dhoot transmission share price",1,"30%"
"snowman logistics share price",2,"30%"
"vrl logistics share price",4,"30%"
"all cargo logistics tracking",3,"30%"
"ithink logistics tracking",1,"30%"
"vrl logistics share",4,"30%"
"yes bank share price",1,"30%"
"ekart logistics near me",2,"30%"
"logistics meaning in tamil",1,"30%"
"ekart logistics tracking",6,"30%"
"3pl logistics",3,"30%"
"mahindra logistics share",3,"20%"
"ekart logistics customer care number 24x7",1,"20%"
"mrc logistics",1,"20%"
"ithink logistics",6,"20%"
"sm express logistics",4,"20%"
"mahindra logistics share price",3,"20%"
"srd logistics",2,"20%"
"tata power share price",1,"20%"
"ekart tracking",6,"20%"
"bullet logistics tracking",1,"20%"
"busybees logistics solutions private limited",1,"10%"
"apsrtc logistics",11,"10%"
"wakefit logistics",1,"10%"
"ekart logistics",56,"10%"
"bvc logistics",3,"10%"
"ekart",56,"10%"
"ekart logistics track",1,"10%"
"logistics meaning",26,"10%"
"fr8 logistics",1,"10%"
"logistics meaning in hindi",3,"10%"
"aka logistics pvt ltd",1,"10%"
"ritco logistics share price",1,"10%"
"global logistics",28,"10%"
