"query","search interest","increase percent"
"vrl logistics",100,"-1%"
"vrl",99,"-9%"
"ekart logistics",56,"10%"
"ekart",56,"10%"
"logistics company",44,"0%"
"om logistics",41,"-10%"
"what is logistics",33,"9%"
"global logistics",28,"10%"
"logistics meaning",26,"10%"
"vrl tracking",21,"-10%"
"vrl logistics tracking",20,"-20%"
"logistics jobs",20,"5%"
"aegis logistics",17,"-1%"
"om logistics tracking",16,"-20%"
"allcargo logistics",15,"7%"
"allcargo",15,"3%"
"aegis logistics share",14,"-2%"
"mahindra logistics",13,"10%"
"aegis logistics share price",13,"9%"
"logistics and supply chain management",12,"0%"
"apsrtc logistics",11,"10%"
"all cargo logistics",10,"3%"
"vrl logistics ltd",9,"1%"
"amazon logistics",8,"10%"
"allcargo logistics share",8,"7%"
"flipkart logistics",7,"6%"
"allcargo logistics share price",7,"8%"
"ekart logistics tracking",6,"30%"
"delhivery logistics",6,"50%"
"delhivery",6,"40%"
"ithink logistics",6,"20%"
"ekart tracking",6,"20%"
"vrl logistics share",4,"30%"
"vrl logistics share price",4,"30%"
"sm express logistics",4,"20%"
"bvc logistics",3,"10%"
"all cargo logistics tracking",3,"30%"
"sequel logistics",3,"-10%"
"dp world logistics",3,"-10%"
"mahindra logistics share",3,"20%"
"logistics meaning in hindi",3,"10%"
"nitco logistics",3,"-10%"
"3pl logistics",3,"30%"
"apsrtc logistics tracking",3,"60%"
"ekart logistics customer care",3,"50%"
"logistics movie",3,"4%"
"mahindra logistics share price",3,"20%"
"all cargo logistics share",3,"-5%"
"ceva logistics",3,"-30%"
"bse share price",2,"-4%"
